Date,Close,Volume,Open,High,Low
28-02-2023,9.39,53310750,9.2,9.44,9.12
27-02-2023,9.33,42356410,9.53,9.585,9.24
24-02-2023,9.3,56808870,9.51,9.515,9.13
23-02-2023,9.79,50261650,10.39,10.4,9.58
22-02-2023,10.18,34099400,10.01,10.2059,9.9
21-02-2023,10.03,35046670,10.05,10.31,9.9599
17-02-2023,10.19,37467040,10.1,10.2377,9.9301
16-02-2023,10.19,38647010,10.46,10.6,10.185
15-02-2023,10.5,35925520,10.09,10.5,10.09
14-02-2023,10.31,38028610,10.19,10.35,9.91
13-02-2023,10.31,30815840,10.47,10.54,10.28
10-02-2023,10.31,38377070,10.25,10.39,10.02
09-02-2023,10.47,40466260,10.97,11.02,10.37
08-02-2023,10.65,28370240,10.75,10.91,10.58
07-02-2023,10.92,35350750,11.0,11.02,10.56
06-02-2023,10.93,45482550,10.95,11.03,10.67
03-02-2023,11.19,55798840,11.65,11.9,11.16
02-02-2023,11.96,68872820,12.12,12.37,11.81
01-02-2023,12.1,65907220,12.24,12.32,11.585
31-01-2023,12.07,45863140,11.91,12.355,11.76
30-01-2023,12.02,54969960,12.43,12.44,11.85
27-01-2023,12.71,69734440,12.145,13.22,11.98
26-01-2023,12.17,51635150,12.43,12.47,11.8
25-01-2023,11.63,26348930,11.46,11.77,11.28
24-01-2023,11.68,37478550,14.36,14.36,11.06
23-01-2023,12.06,64034110,11.28,12.35,11.15
20-01-2023,11.07,39012530,10.95,11.34,10.83
19-01-2023,10.77,33638130,10.88,11.175,10.62
18-01-2023,11.01,43306240,11.485,11.69,10.98
17-01-2023,11.41,48895650,11.32,11.51,11.09
13-01-2023,11.8,41631550,11.44,11.81,11.23
12-01-2023,11.81,40125270,11.49,11.81,11.125
11-01-2023,11.51,42554540,11.35,11.72,10.99
10-01-2023,11.24,44315540,11.1,11.38,10.68
09-01-2023,10.76,42870130,10.63,11.12,10.63
06-01-2023,10.37,70946670,10.06,10.385,9.5
05-01-2023,10.86,37262750,10.39,10.97,10.24
04-01-2023,10.63,63723790,9.97,10.9,9.85
03-01-2023,9.63,54095600,10.21,10.505,9.5
30-12-2022,9.75,40863790,9.83,9.98,9.52
29-12-2022,9.99,49380230,9.92,10.27,9.77
28-12-2022,9.8,42225320,10.01,10.25,9.61
27-12-2022,10.06,54165750,10.53,10.61,9.97
23-12-2022,10.97,33666120,11.22,11.22,10.69
22-12-2022,11.29,32468890,11.45,11.58,10.76
21-12-2022,11.61,34243990,11.07,11.705,10.86
20-12-2022,11.09,44765260,10.67,11.59,10.58
19-12-2022,11.06,40564580,11.655,11.655,10.83
16-12-2022,11.6,46476290,12.13,12.38,11.595
15-12-2022,11.88,41620870,12.33,12.6299,11.68
14-12-2022,12.1,33251870,12.45,12.53,11.9701
13-12-2022,12.31,52084310,13.11,13.24,12.03
12-12-2022,12.49,35211110,12.3,12.58,12.16
09-12-2022,12.63,44101140,13.17,13.32,12.6201
08-12-2022,13.41,52377740,13.0,13.55,12.88
07-12-2022,12.58,52840540,12.42,12.715,12.145
06-12-2022,13.24,62747580,13.0,13.28,12.43
05-12-2022,12.8,94815790,13.99,14.03,12.59
